# chr: chromosome
# st: starting position for the segment
# sp: end position for the segment
# maxsize: maximum size of phenotype clusters
# count: counts of phenotypes in cluster, comma delimited
# phenos: phenotypes in each cluster, comma delimited. Clusters are semi-colon delimited
# snps: minimum P-values in the region for each phenotype. nan = missing data. space-delimited, in format [phenotype]:[best snp]:[Z scores for all phenotypes in same order as in phenos]
# NB: often will want to exclude the MHC from 26-34Mb on chromosome 6
chr	st	sp	maxsize	count	phenos	snps
chr1	1892607	3582736	2	2;2	ALL-23,UC;SCZ,HEIGHT	ALL_23:rs7515633:-4.37352,-5.56275,0.834854,-1.95116 UC:rs734999:-3.41997,-5.84935,1.07673,-1.96552 SCZ:rs4648845:nan,-0.153064,5.88283,nan HEIGHT:rs400132:-1.84404,0.935981,-4.22148,8.94136
chr1	7247335	9365199	7	7	AAM,FNBMD,ATH-23,PD-23,SCZ,ALL-23,UC	AAM:rs301798:5.10546,-5.22612,3.66703,nan,5.83653,nan,0.106986 FNBMD:rs6678140:-4.81124,5.52203,-3.48523,nan,-5.62519,nan,0.120357 ATH_23:rs11121165:-1.94125,3.13761,-4.46196,2.48869,-3.16874,-2.7991,-0.324637 PD_23:rs2708631:-3.26365,2.37308,-1.98203,4.53374,-4.19061,-3.17824,1.85221 SCZ:rs301797:4.27633,-5.12107,3.56033,nan,5.94742,nan,0.147256 ALL_23:rs4908769:3.30493,-3.88294,3.84682,-1.77527,3.95873,7.71461,0.19678 UC:rs7523335:-2.06419,0.60768,-3.67855,-0.388528,0.484262,-0.889272,-5.99651
chr1	9365199	10806984	3	3;3	MPV,TS-23,HEIGHT;ATH-23,ALL-23,CUP-23	MPV:rs997482:5.60413,5.12045,5.0,4.72451,2.76133,3.32576 TS_23:rs12137527:5.38967,5.42955,5.15707,4.80422,2.90424,3.24128 HEIGHT:rs7418365:-0.398177,0.372424,5.625,-2.05794,0.641856,0.885424 ATH_23:rs662064:1.20036,2.1906,1.5625,5.78989,3.82802,5.23915 ALL_23:rs10864458:1.29814,2.10744,1.53157,5.49152,4.24228,5.06102 CUP_23:rs616402:-1.12757,-1.87841,-1.64516,-5.35489,-3.75655,-5.41291
chr1	18662899	20469149	2	2	UB-23,NOSE-23	UB_23:rs1934057:5.10749,4.46259 NOSE_23:rs6603907:4.69935,5.01879
chr1	21736588	23086883	3	3	LSBMD,FNBMD,UC	LSBMD:rs7524102:8.65255,9.83892,-6.46987 FNBMD:rs6426749:8.49999,9.96997,-6.16309 UC:rs12568930:8.58823,9.83892,-6.49363
chr1	38731847	40200567	2	2	MCV,HDL	MCV:rs999918:-4.86099,-2.17469 HDL:rs67408364:-4.50376,-6.26515
chr1	43758457	44969183	2	2	AAM,EDU	AAM:rs618678:-5.53013,6.279 EDU:rs11210860:-4.7251,6.336
chr1	44969183	46899501	2	2	PLT,HEIGHT	PLT:rs785503:5.40165,-6.22253 HEIGHT:rs3014238:5.23088,-7.24138
chr1	46899501	48002576	3	3	HTHY-23,MCV,RA	HTHY_23:rs12057184:-4.62724,4.97761,3.4412 MCV:rs741959:-4.43303,6.19062,3.79861 RA:rs977747:-4.29049,5.79858,4.58307
chr1	48978188	51713726	3	3	BMI,PS-23,SCZ	BMI:rs657452:-5.35725,4.76557,-3.24079 PS_23:rs1343431:-5.12195,5.59114,-3.18671 SCZ:rs12138061:3.98501,-4.40154,4.52512
